SP;Nro Arb;COD;CIF;NOMBRE VULGAR;NOMBRE CIENTIFICO ;POM;X;Y;DAP;CD;HT;HC;ESTE;NORTE
70;2;;;Cumala blanca;Virola albidiflora;;97.7;65.7;45.3;40 a 49.9;2.784.939.772;1.850.973.385;667216.7;9537409.7
70;3;;;Quinilla;Pouteria cuspidata;;99.9;63.3;12.4;10 a 19.9;1.427.796;7.972.232;667218.9;9537407.3
70;4;;;Sacha cacao;Theobroma subincanum;;93.1;69.5;18.3;10 a 19.9;1.323.335.821;6.886.440.247;667212.1;9537413.5
71;1;;;Caimitillo;Pouteria guianensis;;99.67;70.7;14.5;10 a 19.9;1.496.655;96.503;667218.67;9537414.7
71;2;;;Chimicua;Perebea guianensis;;98.84;70.2;26.6;20 a 29.9;1.893.414;18.322.612;667217.84;9537414.2
71;3;;;Fariña caspi;Sloanea floribunda;;97.2;72;14.3;10 a 19.9;1.490.097;9.492.688;667216.2;9537416
71;4;;;Carahuasca;Guatteria elata;;98.45;71.9;20.3;20 a 29.9;1.686.837;14.019.208;667217.45;9537415.9
71;5;;;Caimitillo;Pouteria guianensis;;98;72;19.3;10 a 19.9;1.654.047;13.293.788;667217;9537416
71;6;;;Requia;Guarea guidonia;;99.5;74;11;10 a 19.9;138.189;68.251;667218.5;9537418
71;7;;;Sacha cacao;Theobroma subincanum;;99.9;75.8;11.4;10 a 19.9;1.395.006;7.155.172;667218.9;9537419.8
71;8;;411;Huacrapona;Iriartea deltoidea;;99.2;77.8;23;20 a 29.9;177.537;159.199;667218.2;9537421.8
71;9;;;Chimicua;Perebea guianensis;;99.2;78.4;13.8;10 a 19.9;1.473.702;9.096.628;667218.2;9537422.4
71;10;;;Sacha quinilla;Manilkara bidentata;;98.55;75.1;12;10 a 19.9;141.468;76.468;667217.55;9537419.1
71;11;;;Tangarana;Nealchornea yapurensis;;91.5;71.6;30;30 a 39.9;20.049;204.538;667210.5;9537415.6
72;1;;;Requia;Guarea guidonia;;88.66;78;11.4;10 a 19.9;1.395.006;7.155.172;667207.66;9537422
72;2;;;Machimango ;Eschweilera albiflora;;81.68;76.1;15.7;10 a 19.9;1.536.003;10.586.228;667200.68;9537420.1
72;3;;;Cumala;Virola duckei;;81.67;73.6;13.8;10 a 19.9;1.473.702;9.096.628;667200.67;9537417.6
72;4;;;Requia;Guarea guidonia;;80.66;70.5;13.5;10 a 19.9;1.463.865;88.576;667199.66;9537414.5
72;5;;;Fariña caspi;Sloanea floribunda;;82.66;73;10;10 a 19.9;13.491;59.918;667201.66;9537417
72;6;;;Carahuasca;Guatteria elata;;86.7;74;34;30 a 39.9;1.942.124.065;1.469.114.055;667205.7;9537418
72;7;;;Añallu caspi;Poecilanthe effusa;;88;74.6;10.5;10 a 19.9;1.365.495;64.099;667207;9537418.6
73;1;;411;Huacrapona;Iriartea deltoidea;1.5;77.7;75.5;10.9;10 a 19.9;1.378.611;6.742.292;667196.7;9537419.5
73;2;;;Quinilla;Pouteria cuspidata;;75.5;75.7;15.7;10 a 19.9;1.536.003;10.586.228;667194.5;9537419.7
73;3;;;Machimango ;Eschweilera albiflora;;76.1;79;21.3;20 a 29.9;1.719.627;14.733.028;667195.1;9537423
73;4;;;Maria buena;Vochysia venulosa;1.75;70.7;74.6;26.4;20 a 29.9;1.886.856;18.193.072;667189.7;9537418.6
73;5;;;Requia;Guarea guidonia;;71.4;74.7;10.3;10 a 19.9;1.358.937;6.243.008;667190.4;9537418.7
73;6;;;Cumala;Virola duckei;;77.2;71;12.4;10 a 19.9;1.427.796;7.972.232;667196.2;9537415
73;7;;;Chimicua;Perebea guianensis;;76.1;73.7;37.7;30 a 39.9;2.257.383;24.784.588;667195.1;9537417.7
74;1;;;Achiotillo;Bixa orellana;;68;76.8;41.4;40 a 49.9;2.378.706;26.620.972;667187;9537420.8
74;2;;;Sacha mango;Grias neuberthii;;64.7;78.3;17.6;10 a 19.9;1.598.304;12.033.952;667183.7;9537422.3
74;3;;;Shimbillo;Inga ruiziana;;64.66;76.7;11.2;10 a 19.9;1.388.448;6.990.368;667183.66;9537420.7
74;4;;;Copal;Protium amazonicum;;63.36;71.7;11.3;10 a 19.9;1.391.727;7.072.828;667182.36;9537415.7
74;5;;;Cumala;Virola duckei;;63.85;71.1;11.2;10 a 19.9;1.388.448;6.990.368;667182.85;9537415.1
74;6;;;Machimango ;Eschweilera albiflora;;66.2;70;18.4;10 a 19.9;1.624.536;12.630.992;667185.2;9537414
74;7;;;Aguanillo;Pouteria guianensis;;68.53;70.5;23.2;20 a 29.9;1.781.928;16.057.328;667187.53;9537414.5
74;8;;411;Huacrapona;Iriartea deltoidea;;65.5;72.4;33.5;30 a 39.9;2.119.665;225.076;667184.5;9537416.4
74;9;;;Copal;Protium amazonicum;;67;75.3;11.9;10 a 19.9;1.411.401;7.565.152;667186;9537419.3
75;1;;;Moena;Ocotea myriantha;;57.3;76.3;10.9;10 a 19.9;1.378.611;6.742.292;667176.3;9537420.3
75;2;;;Cumala;Virola duckei;;56.5;77.4;16.9;10 a 19.9;1.575.351;11.505.452;667175.5;9537421.4
75;3;;;Shimbillo;Inga ruiziana;;53.8;77.6;19.9;10 a 19.9;1.673.721;13.730.432;667172.8;9537421.6
75;4;;;Guayabillo;Cupania hispida;1.4;52.3;74.2;17.2;10 a 19.9;1.585.188;11.732.648;667171.3;9537418.2
75;5;;;Maria Buena;Vochysia venulosa;2;51.3;70.8;28.6;20 a 29.9;1.958.994;19.592.492;667170.3;9537414.8
75;6;;;Machin Sapote;Quararibea cordata;;55.77;73.6;10.8;10 a 19.9;1.375.332;6.659.368;667174.77;9537417.6
76;1;;;Peine de mono;Apeiba aspera;;42;72.8;35.5;30 a 39.9;2.185.245;236.174;667161;9537416.8
76;2;;;Cumala;Virola duckei;;40.44;72.8;21.2;20 a 29.9;1.716.348;14.662.168;667159.44;9537416.8
76;3;;;Sacha parinari;Parinari excelsa;;43.6;72.3;13.9;10 a 19.9;1.476.981;9.176.072;667162.6;9537416.3
76;4;;411;Huicungo;Astrocaryum murumuru;;49.46;74.1;20.1;20 a 29.9;1.680.279;13.875.052;667168.46;9537418.1
76;5;;411;Huacrapona;Iriartea deltoidea;;45.65;76.7;18.5;10 a 19.9;1.627.815;127.051;667164.65;9537420.7
77;1;;;Aguanillo;Pouteria guianensis;;37.9;76.6;28.8;20 a 29.9;1.965.552;19.716.928;667156.9;9537420.6
77;2;;411;Huicungo;Astrocaryum murumuru;;34.75;74.7;14.5;10 a 19.9;1.496.655;96.503;667153.75;9537418.7
77;3;;;Sacha uvilla ;Pourouma ovata;;35.8;70.5;30.2;30 a 39.9;2.011.458;20.574.988;667154.8;9537414.5
77;4;;;Machin Sapote;Quararibea cordata;;38.34;73.7;10.3;10 a 19.9;1.358.937;6.243.008;667157.34;9537417.7
77;5;;411;Chambira;Astrocaryum murumuru;;37.5;75.1;23;20 a 29.9;177.537;159.199;667156.5;9537419.1
78;1;;;Machin Sapote;Quararibea cordata;;27.4;73;12.5;10 a 19.9;1.431.075;80.533;667146.4;9537417
79;1;;;Quillosisa;Vochysia braceliniae;;12;77.1;13.2;10 a 19.9;1.454.028;8.617.528;667131;9537421.1
79;2;;;Huarmicaspi;Heisteria spp;;11.6;74.7;56.8;50 a 59.9;2.883.672;32.558.288;667130.6;9537418.7
79;3;;;Chimicua;Perebea guianensis;;11;72.5;14.1;10 a 19.9;1.483.539;9.334.612;667130;9537416.5
79;4;;;Palometa huayo;Miconia spp;;17.9;70.5;10.5;10 a 19.9;1.365.495;64.099;667136.9;9537414.5
79;5;;;Shimbillo;Inga ruiziana;;17.1;75.9;18.5;10 a 19.9;1.627.815;127.051;667136.1;9537419.9
79;6;;411;Cashapona;Socratea exorrhiza;2.2;17.9;77.1;10.3;10 a 19.9;1.358.937;6.243.008;667136.9;9537421.1
80;1;;;Tamara;Zanthoxylum monophyllum;;4.75;79.7;14;10 a 19.9;148.026;92.554;667123.75;9537423.7
80;2;;;Yacushapana;Terminalia corrugata;1.8;4.17;72.8;40.3;40 a 49.9;2.342.637;26.091.608;667123.17;9537416.8
80;3;;;Requia;Guarea guidonia;;9.8;72.1;10.2;10 a 19.9;1.355.658;6.159.388;667128.8;9537416.1
80;4;;411;Huicungo;Astrocaryum murumuru;;8.58;75.1;24;20 a 29.9;180.816;166.024;667127.58;9537419.1
81;1;;;Sacha parinari;Parinari excelsa;;6.7;89.1;48.4;40 a 49.9;1.944.187.713;1.543.067.224;667125.7;9537433.1
81;2;;411;Ungurahui;Oenocarpus bataua;;5.7;85.9;27.1;20 a 29.9;1.909.809;18.644.432;667124.7;9537429.9
81;3;;;Rifari;Rinorea flavescens;;1.73;82.6;11.2;10 a 19.9;1.388.448;6.990.368;667120.73;9537426.6
81;4;;;Sacha parinari;Parinari excelsa;;2.84;80.9;43.2;40 a 49.9;2.084.974.099;1.492.410.462;667121.84;9537424.9
82;1;;411;Chambira;Astrocaryum murumuru;;17.73;88.9;35.1;30 a 39.9;2.172.129;23.399.152;667136.73;9537432.9
82;2;;;Machin Sapote;Quararibea cordata;;14.2;87.3;15.9;10 a 19.9;1.542.561;10.740.592;667133.2;9537431.3
82;3;;;Machin Sapote;Quararibea cordata;;10.45;84.7;12.6;10 a 19.9;1.434.354;8.134.252;667129.45;9537428.7
82;4;;;Chamburo;Vasconcellea pubescens;;16.1;84.4;25;20 a 29.9;184.095;172.733;667135.1;9537428.4
83;1;;;Sacha guayaba;Casearia decandra;;29.3;88.7;10.8;10 a 19.9;1.375.332;6.659.368;667148.3;9537432.7
83;2;;;Aguanillo;Pouteria guianensis;;28.4;89.8;20.8;20 a 29.9;1.703.232;14.377.568;667147.4;9537433.8
83;3;;;Bolaina;Guazuma crinita;;20.3;87.7;10.2;10 a 19.9;1.355.658;6.159.388;667139.3;9537431.7
83;4;;;Moena;Ocotea spp;;22.28;83.1;21.6;20 a 29.9;1.729.464;14.944.912;667141.28;9537427.1
83;5;;112;Caimitillo;Pouteria guianensis;;21.7;82.2;31.5;30 a 39.9;2.054.085;213.514;667140.7;9537426.2
83;6;;;Achiotillo;Bixa orellana;;23.96;80.1;20.7;20 a 29.9;1.699.953;14.306.128;667142.96;9537424.1
83;7;;;Huacapusillo;Minquartia guianensis;;29.3;80.1;10.7;10 a 19.9;1.372.053;6.576.328;667148.3;9537424.1
84;1;;;Parinari;Licania apetala;;39.65;87.9;17.9;10 a 19.9;1.608.141;12.258.712;667158.65;9537431.9
84;2;;;Sacha uvilla ;Pourouma ovata;2;30.3;87.2;42.9;40 a 49.9;2.427.891;27.320.212;667149.3;9537431.2
84;3;;411;Huacrapona;Iriartea deltoidea;;31.6;83.7;22.9;20 a 29.9;1.772.091;15.851.012;667150.6;9537427.7
84;4;;;Maria buena;Vochysia venulosa;;35.34;85.2;11.8;10 a 19.9;1.408.122;7.483.388;667154.34;9537429.2
84;5;;411;Cashapona;Socratea exorrhiza;2.17;36.5;86;12;10 a 19.9;141.468;76.468;667155.5;9537430
84;6;;;Shimbillo;Inga ruiziana;;38.3;80.2;21.9;20 a 29.9;1.739.301;15.155.752;667157.3;9537424.2
85;1;;;Shimbillo;Inga ruiziana;;47.7;88.9;34.7;30 a 39.9;2.159.013;23.179.048;667166.7;9537432.9
85;2;;;Intuto caspi;SWartzia benthamiana;;40.7;89.4;16.8;10 a 19.9;1.572.072;11.429.488;667159.7;9537433.4
85;3;;411;Huicungo;Astrocaryum murumuru;1.4;44.72;88.2;16.3;10 a 19.9;1.555.677;11.047.928;667163.72;9537432.2
85;4;;;Tubinachi;Terminalia oblonga;1.4;48.37;82.8;12.2;10 a 19.9;1.421.238;7.809.748;667167.37;9537426.8
86;1;;;Chimicua;Perebea guianensis;;59.6;86.8;17.5;10 a 19.9;1.595.025;119.588;667178.6;9537430.8
86;2;;;Cumalilla;Virola elongata;;52.56;88.9;15.5;10 a 19.9;1.529.445;104.314;667171.56;9537432.9
86;3;;;Peine de mono;Apeiba aspera;;53.6;80.9;21.6;20 a 29.9;1.729.464;14.944.912;667172.6;9537424.9
87;1;;;Caimitillo;Pouteria guianensis;;67.8;87.2;11.9;10 a 19.9;1.411.401;7.565.152;667186.8;9537431.2
87;2;;;Pucaquiro;Simira williamsii ;;66.95;89.3;15.7;10 a 19.9;1.536.003;10.586.228;667185.95;9537433.3
87;3;;;Pinsha ñahui;Matayba macrocarpa;;65;86.9;10.5;10 a 19.9;1.365.495;64.099;667184;9537430.9
87;4;;;Carahuasca;Guatteria elata;;61.5;89.2;21.8;20 a 29.9;1.736.022;15.085.588;667180.5;9537433.2
87;5;;;Picho huayo;Siparuna decipiens;;63.1;85.8;10.8;10 a 19.9;1.375.332;6.659.368;667182.1;9537429.8
87;6;;;Insira;Maclura tinctoria;;60.2;83.3;12.9;10 a 19.9;1.444.191;8.376.412;667179.2;9537427.3
88;1;;;Anacaspi;Eschweilera andina;2.85;75.5;89;51.8;50 a 59.9;3.100.778.106;2.270.428.661;667194.5;9537433
88;2;;;Tamamuri;Ophiocaryon heterophyllum;;74.25;84.4;16.3;10 a 19.9;1.555.677;11.047.928;667193.25;9537428.4
88;3;;;Tangarana;Nealchornea yapurensis;;70.34;83.1;16.5;10 a 19.9;1.562.235;112.009;667189.34;9537427.1
88;4;;;Copal;Protium amazonicum;;73.45;81.1;13.8;10 a 19.9;1.473.702;9.096.628;667192.45;9537425.1
88;5;;;Sacha parinari;Parinari excelsa;2.3;75.7;82;35;30 a 39.9;216.885;233.443;667194.7;9537426
89;1;;;Moena;Nectandra acuminata;;89.2;88.9;12.8;10 a 19.9;1.440.912;8.295.808;667208.2;9537432.9
89;2;;;Palometa huayo;Miconia spp;;85.3;88.6;12.4;10 a 19.9;1.427.796;7.972.232;667204.3;9537432.6
89;3;;;Chullachaqui caspi;Caraipa utilis;2;83.15;87.8;30.4;30 a 39.9;2.018.016;20.695.712;667202.15;9537431.8
89;4;;;Bejuco amarillo;Adenocalymma biternatum;;88.88;80.1;17.1;10 a 19.9;1.581.909;11.657.032;667207.88;9537424.1
89;5;;;Chimicua;Perebea guianensis;;88.65;83.3;17;10 a 19.9;157.863;115.813;667207.65;9537427.3
89;6;;;Sacha mango;Grias neuberthii;;88.73;84.9;14.9;10 a 19.9;1.509.771;9.964.132;667207.73;9537428.9
90;1;;;Maria buena;Vochysia venulosa;;92.63;80.3;10.4;10 a 19.9;1.362.216;6.326.512;667211.63;9537424.3
90;2;;411;Cashapona;Socratea exorrhiza;;98.6;80.5;16;10 a 19.9;154.584;108.176;667217.6;9537424.5
90;3;;;Shimbillo;Inga ruiziana;;98;83.6;23.4;20 a 29.9;1.788.486;16.194.292;667217;9537427.6
90;4;;;Punga;Pseudobombax munguba;;100;87.1;10.7;10 a 19.9;1.372.053;6.576.328;667219;9537431.1
90;5;;411;Huicungo;Astrocaryum murumuru;;96.1;89.9;16.1;10 a 19.9;1.549.119;10.894.492;667215.1;9537433.9
