SP;Nro Arb;COD;CIF;NOMBRE VULGAR;NOMBRE CIENTIFICO ;POM;X;Y;DAP;CD;HT;HC;ESTE;NORTE
96;9;;;Huarmicaspi;Heisteria spp;;49.86;93.6;11;10 a 19.9;138.189;68.251;667168.86;9537437.6
97;1;;;Yutubanco;Metteniusa tessmanniana;;39.8;96;12;10 a 19.9;141.468;76.468;667158.8;9537440
97;2;;;Cumala;Iryanthera paraensis;1.6;31.7;99;18.1;10 a 19.9;1.614.699;12.407.972;667150.7;9537443
97;3;;;Sacha uvilla ;Pourouma ovata;2.3;35;90.8;49.9;40 a 49.9;2.026.158.747;1.587.664.566;667154;9537434.8
97;4;;;Lanza caspi ;Mouriri floribunda;;38.2;93.9;10.2;10 a 19.9;1.355.658;6.159.388;667157.2;9537437.9
98;1;;;Cumala;Virola duckei;;21.14;98.5;16.4;10 a 19.9;1.558.956;11.124.472;667140.14;9537442.5
98;2;;;Aguanillo;Pouteria guianensis;1.49;21.35;93.6;49.4;40 a 49.9;2.641.026;30.048.652;667140.35;9537437.6
98;3;;;Tamara;Zanthoxylum monophyllum;;20.75;94.5;12.3;10 a 19.9;1.424.517;7.891.048;667139.75;9537438.5
98;4;;;Aguanillo;Pouteria guianensis;;26.4;94.1;17.5;10 a 19.9;1.595.025;119.588;667145.4;9537438.1
98;5;;;Requia;Guarea guidonia;;29.98;94.4;14.8;10 a 19.9;1.506.492;9.885.848;667148.98;9537438.4
98;6;;;Machin Sapote;Quararibea cordata;;29.94;96;13.8;10 a 19.9;1.473.702;9.096.628;667148.94;9537440
99;1;;;Huacapu;Minquartia guianensis;;18.2;93.8;17.9;10 a 19.9;1.608.141;12.258.712;667137.2;9537437.8
99;2;;;Aguanillo;Pouteria guianensis;;17.18;93.6;21.2;20 a 29.9;1.716.348;14.662.168;667136.18;9537437.6
99;3;;;Palo blanco;Lacistema nena;;17.7;95;10.3;10 a 19.9;1.358.937;6.243.008;667136.7;9537439
99;4;;;Cafecillo del monte;Faramea glandulosa;;10.77;91.6;12.5;10 a 19.9;1.431.075;80.533;667129.77;9537435.6
99;5;;;Tamara;Zanthoxylum monophyllum;;14.9;91.1;12.4;10 a 19.9;1.427.796;7.972.232;667133.9;9537435.1
100;1;;;Rifari;Rinorea flavescens;;8.95;100;27.6;20 a 29.9;1.926.204;18.963.352;667127.95;9537444
100;2;;;Cacahuillo;Theobroma speciosum;;5.7;99.5;10.8;10 a 19.9;1.375.332;6.659.368;667124.7;9537443.5
100;3;;;Moena;Ocotea spp;;1.47;99.3;25.1;20 a 29.9;1.844.229;17.339.752;667120.47;9537443.3
100;4;;;Requia;Guarea guidonia;;0.83;100;10.2;10 a 19.9;1.355.658;6.159.388;667119.83;9537444
100;5;;;Cumala;Virola duckei;;5.4;100;25.1;20 a 29.9;1.844.229;17.339.752;667124.4;9537444
